name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name_original,career_span_original
wright,steven,453214,wrigs001,wrighst01,8185,2013.0,2019.0,Steven Wright,2013-2019
lyons,ted,118055,lyont102,lyonste01,1007887,1923.0,1946.0,Ted Lyons,1923-46
wakefield,tim,123801,waket001,wakefti01,219,1992.0,2011.0,Tim Wakefield,1990 -
candiotti,tom,111954,candt001,candito01,1001911,1983.0,1999.0,Tom Candiotti,1983-99
seaton,tom,121959,seatt102,seatoto01,1011706,1912.0,1917.0,Tom Seaton,1912-17
sturdivant,tom,122910,sturt101,sturdto01,1012654,1955.0,1964.0,Tom Sturdivant,1955-64
pressnell,tot,120756,prest101,pressto01,1010524,1938.0,1942.0,Tot (Forest) Pressnell,1938-42
fear,vern,114043,fearv101,fearve01,1003964,1952.0,1952.0,Vern Fear,1952
boggs,wade,111153,boggw001,boggswa01,1001124,1982.0,1999.0,Wade Boggs,1997-99
burnette,wally,111741,burnw101,burnewa01,1001700,1956.0,1958.0,Wally Burnette,1956-58
flowers,wes,114258,floww101,flowewe01,1004176,1940.0,1944.0,Wes Flowers,1940-44
wood,wilbur,124543,woodw103,woodwi01,1014248,1961.0,1978.0,Wilbur Wood,1961-78
ramsdell,willie,120915,ramsw101,ramsdwi01,1010683,1947.0,1952.0,Willie Ramsdell,1947-52
